Nodes,Edges,Lmax,Avg_Degree,Density,Avg_Cluster,N_Connected_Component,Len_CC,First_Component_Length,Is_Connected,Diameter,Avg_Shortest_Path,Date,TimeVal,Month
202,399,20301.0,3.9504950495049513,0.019654204226392788,0.8215715966076809,"['xamarin.forms', 'azure-sql-database', 'algebra', 'opcode', 'atomic', 'dotnet-httpclient', 'asp.net-core-scaffolding', 'templates', 'graphics', 'add-in', 'language-lawyer', '.net', 'c++', 'reference', 'visual-studio-2019', 'assembly', 'stdatomic', 'vsto', 'dapper', 'binary-image', 'excel', 'asp.net-core', 'razor-pages', 'opencv', 'razorgenerator', 'sqrt', '.net-core', 'vb.net', 'json', 'asp.net-core-webapi', 'class', 'namespaces', 'azure-functions', 'json.net', 'race-condition', 'x86', 'c#', 'computer-vision']",15,38,False,4,2.419630156472261,Gen 01,2020-01-01,01
236,477,27730.0,4.0423728813559325,0.01720158672917418,0.7977388366924476,"['elasticsearch-x-pack', 'elastic-stack', 'elasticsearch', 'kibana', 'amazon-elastic-beanstalk']",18,5,False,1,1.0,Gen 02,2020-01-02,01
251,518,31375.0,4.1274900398406364,0.016509960159362548,0.8513102323234789,"['c#-to-f#', '.net', 'design-patterns', 'f#', 'networkstream', 'windows-subsystem-for-linux', '.net-core', 'delegates', 'ef-core-5.0', 'c#', 'expression', '.net-5', 'entity-framework-core']",15,13,False,3,1.9230769230769231,Gen 03,2020-01-03,01
221,409,24310.0,3.7013574660633486,0.016824352118469766,0.8395249096273849,"['xamarin.forms', 'algorithm', 'visual-studio-mac', 'undefined-behavior', 'observer-pattern', 'phantom-types', 'single-page-application', 'c++17', 'xamarin.uitest', 'c++', 'asp.net-core-3.1', 'visual-studio-2019', 'xamarin', 'visual-c++', 'precision', 'dynamic-linking', 'pybind11', 'floating-point', 'shared-libraries', 'hamming-numbers', 'polygon', 'api', 'haskell', 'clion', 'postman', 'cmake', 'angular9', 'datatable', 'rest', 'endianness', 'geometry', 'visual-studio', 'c++20', 'c#']",22,34,False,7,3.3511586452762923,Gen 04,2020-01-04,01
241,478,28920.0,3.966804979253112,0.0165283540802213,0.8405362603533191,"['hapijs', 'keras', 'android-jetpack-compose', 'android-vpn-service', 'allennlp', 'google-cloud-firestore', 'android-paging-3', 'javascript', 'firefox-addon-webextensions', 'android-jetpack', 'android-jetpack-navigation', 'pylint', 'deserialization', 'mnist', 'npm', 'navigation-drawer', 'redux-saga', 'robolectric', 'kotlin-coroutines', 'recursion', 'android-fragments', 'serialization', 'comma-operator', 'ajax', 'web-worker', 'textarea', 'firebase-security', 'google-chrome', 'django-rest-framework', 'obfuscation', 'tensorflow', 'firebase-cli', 'antd', 'firebase', 'numpy', 'opencv', 'reactjs', 'css', 'react-navigation-v5', 'python-3.x', 'dataframe', 'cryptography', 'cross-domain', 'this', 'react-native', 'chartist.js', 'android', 'material-ui', 'firebase-realtime-database', 'redux', 'scroll', 'size', 'iframe', 'django', 'angular', 'nested', 'html', 'release', 'public-key-encryption', 'excel', 'apply', 'pytorch', 'pandas-groupby', 'typescript', 'api', 'grouping', 'django-templates', 'jsx', 'android-navigation', 'google-play', 'machine-learning', 'android-layout', 'react-material', 'pandas', 'eigenvalue', 'cypress', 'pywin32', 'kotlin', 'node.js', 'adb', 'tsconfig', 'react-navigation', 'eigenvector', 'tensorflow2.x', 'crashlytics-android', 'usb-debugging', 'sampling', 'arrays', 'methods', 'pythoncom', 'android-wifi', 'rest', 'jestjs', 'win32com', 'huggingface-transformers', 'webpack', 'python', 'vue.js', 'visual-studio-code']",14,99,False,8,4.07379921665636,Gen 05,2020-01-05,01
222,419,24531.0,3.774774774774775,0.017080428845134728,0.8124452316406338,"['passport-local-mongoose', 'android-jetpack-compose', 'google-play-console', 'stackdriver', 'permissions', 'android-studio', 'javascript', 'maven', 'routes', 'android-compose-textfield', 'duplicates', 'signing', 'locale', 'android-bitmap', 'libgdx', 'apache-kafka', 'aws-lambda', 'mongodb', 'go', 'react-select', 'google-cloud-functions', 'amazon-cognito', 'recursion', 'webrtc-android', 'extjs', 'race-condition', 'ionic5', 'google-cloud-dataproc', 'expression-trees', 'appbar', 'mongoose', 'cldr', 'electron', 'firebase', 'reach-router', 'java', 'serverless', 'reactjs', 'css', 'windows-10', 'protocol-buffers', 'dataproc', 'react-native', 'react-native-contacts', 'android', 'performance', 'redux', 'http-status-code-404', 'drawtext', 'polka', 'android-videoview', 'html5-appcache', 'html', 'java-11', 'number-formatting', 'android-textinputlayout', 'keystore', 'compare', 'scaleout-hserver', 'google-play', 'webrtc', 'fs', 'react-hook-form', 'sapper', 'google-search-console', 'kotlin', 'google-play-services', 'node.js', 'android-architecture-navigation', 'react-hooks', 'express', 'sdk', 'flutter', 'jquery', 'jmeter', 'aws-cdk', 'uber-zap', 'google-cloud-platform', 'barcode-printing', 'android-permissions', 'gradle']",20,81,False,6,3.1694444444444443,Gen 06,2020-01-06,01
186,343,17205.0,3.688172043010753,0.019936065097355415,0.853899982932241,"['mapping', 'jpa', 'google-play-console', 'dart', 'spring-data-jpa', 'android-studio', 'hashset', 'datetime', 'deep-linking', 'java', 'exoplayer2.x', 'android-constraintlayout', 'flutter', 'post', 'spring', 'collections', 'flutter-notification', 'recursion', 'exoplayer', 'http', 'dozer', 'android', 'webview']",20,23,False,4,2.347826086956522,Gen 07,2020-01-07,01
196,403,19110.0,4.112244897959183,0.02108843537414966,0.7889642714964946,"['google-developers-console', 'google-play-console']",15,2,False,1,1.0,Gen 08,2020-01-08,01
582,1294,169071.0,4.446735395189004,0.007653589320463,0.8167918077711723,"['azure-application-insights', 'ios-vision', 'asp.net-ajax', 'emmet', 'bottom-sheet', 'asp.net-core-tag-helpers', 'permissions', 'ios', 'bing-maps', 'new-style-class', 'javascript', 'blob', 'xml', 'entity-framework-core', 'sass', 'debezium', 'matplotlib-basemap', 'apache-kafka', 'ipython', '.net-core', 'android-fragments', 'odoo', 'blazor', 'lambda', 'printf', 'google-colaboratory', '.net-standard', 'security', 'angularfire2', 'filter', 'wai-aria', 'image-processing', 'internet-explorer', 'mixins', 'sass-loader', 'spring-kafka-test', 'next.js', 'kubectl', 'invalidargumentexception', 'numpy', 'python-multithreading', 'aws-cloudwatch-log-insights', 'wordpress', 'julia', 'hosting', 'chart.js', 'django-forms', 'pickle', 'partial-views', 'gradle-kotlin-dsl', 'time', 'create-react-app', 'flutter-android', 'x86', 'ssh', 'contour', 'ios13', 'charts', 'docker', 'android-10.0', 'flutter-pageview', 'mysql', 'lombok', 'version', 'html', 'x-forwarded-for', 'svg', 'swiftui', 'finalize', 'rust', 'sqlalchemy', 'traits', 'google-cloud-speech', 'pytorch', 'timeout', 'wrapper', 'google-cloud-storage', 'office365', 'android-viewholder', 'node-modules', 'react-native-native-module', 'memory-mapping', 'vuetify.js', 'sqlite', 'visual-studio', 'android-layout', 'pandas', 'spring-data-r2dbc', 'kotlinc', 'papermill', 'orm', 'touchableopacity', 'object-slicing', 'text-classification', 'kubernetes-helm', 'kotlin', 'vndocumentcameraviewcontroller', 'mogrify', 'express', 'assembly', 'dapper', 'arrays', 'macros', 'chromium', 'angular-ui-bootstrap', 'events', 'webpack-style-loader', 'autodesk-forge', 'certificate', 'unit-testing', 'vue.js', 'r2dbc', 'aws-glue', 'jestjs', 'amazon-web-services', 'testcafe', 'algorithm', 'android-studio', 'uikit', 'sql', 'animated-gif', 'react-testing-library', 'native-module', 'java-14', 'tedious', 'arkit', 'npm', 'gopacket', 'go', 'rollup', 'linq', 'gradle-plugin', 'blazor-server-side', 'google-cloud-composer', 'g1gc', 'postgresql-9.3', 'padding', 'move-constructor', 'akka-typed', 'rollupjs', 'for-loop', 'oclif', 'lint', 'xamarin.ios', 'xml-parsing', 'google-nearby', 'move', 'xmlhttprequest', 'interactive', 'future', 'dma', 'twitter-bootstrap', 'case-sensitive', 'dagger-2', 'change-password', 'firebase', 'c++', 'java', 'rxjs', 'react-native-android', 'geojson', 'react-admin', 'dialogflow-es', 'puppeteer', 'opencv', 'if-statement', 'time-series', 'predicate', 'wincrypt', 'erp', 'matplotlib', 'numba', 'kubernetes', 'android-embedded-api', 'stream', 'altair', 'react-native', 'argv', 'code-coverage', 'pretty-print', 'redux', 'jenkins-x', 'spring-webflux', 'imagemagick', 'blocking', 'android-recyclerview', 'copy-elision', 'ibm-watson', 'excel', 'razor-pages', 'iis', 'web-chat', 'uicollectionview', 'airflow', 'group-by', 'docker-build', 'watchconnectivity', 'dynamic-sql', 'webpack-4', 'httpresponse', 'gcc', 'dask', 'vector', 'c#', 'asynchronous', 'scheduling', 'output', 'uilabel', 'memory', 'dart', 'swift', 'autocomplete', 'postgresql', 'android-connectivitymanager', 'templates', 'certificate-store', 'multidimensional-array', 'linux', 'c++17', 'clientcredential', 'kestrel-http-server', 'autoresize', 'getter', 'copy-constructor', 'xamarin', 'deep-learning', 'flutter', 'naming-conventions', 'tag-helpers', 'jquery', 'build', 'pyinstaller', 'c', 'web-midi', 'azure-functions', 'dockerfile', '7zip', 'firebase-authentication', 'json.net', 'vuelidate', 'python', 'akka', 'augmented-reality', 'annotations', 'builder', 'react-final-form', 'keras', 'azure', 'react-redux', 'kafka-topic', 'google-cloud-firestore', 'e2e-testing', 'datetime', 'method-resolution-order', 'remote-debugging', 'duplicates', 'email-validation', 'aspnetboilerplate', 'oracle', 'ide', 'source-maps', 'csv', 'tocttou', 'frontend', 'asp.net-mvc', 'project-reactor', 'string', 'amazon-cognito', 'nvda', 'python-multiprocessing', 'photoshop', 'ajax', 'expo', 'linux-kernel', 'webview', 'timestamp', 'google-chrome', 'watchos', 'split', 'android-security', 'networking', 'onbackpressed', 'flexbox', 'electron', 'impersonation', 'multithreading', 'compression', 'scope', 'reactjs', 'quill', 'flask', 'istanbul', 'web-accessibility', 'python-3.x', 'firebase-cloud-messaging', 'dataframe', 'http', 'cryptography', 'ef-core-3.1', 'format', 'image', 'google-nearby-connections', 'fixed-header-tables', 'angular8', 'android', 'winapi', 'material-ui', 'bluetooth', 'flask-sqlalchemy', 'local', 'android-source', 'py2exe', 'aggregate-initialization', 'python-dataclasses', 'django-models', 'server-side-rendering', 'socket.io', 'amazon-cloudwatch', '.net', 'amazon-rds', 'sorting', 'moq', 'pointers', 'file', 'type-conversion', 'virtual-machine', 'asp.net-core', 'selenium', 'spring', 'inputstream', 'asp.net-core-2.2', 'diffabledatasource', 'office-js', 'initialization', 'heap', 'final', 'bit-manipulation', 'xpath', 'android-mvvm', 'css-position', 'testing', 'literals', 'build-numbers', 'typescript-typings', 'node.js', 'multiple-inheritance', 'nlp', 'react-hooks', 'sfinae', 'spyder', 'compatibility', 'function-pointers', 'autofixture', 'laravel', 'client', 'file-io', 'crop', 'ejs', 'kiosk-mode', 'svelte', 'abstract-factory', 'office365api', 'react-context', 'seaborn', 'rust-cargo', 'xcode', 'visual-studio-code', 'lstm', 'macos', 'collectors', 'xamarin.forms', 'odoo-13', 'carousel', 'speech-recognition', 'concurrency', 'mapbox', 'runtime-error', 'private-key', 'linked-list', 'keyboard', 'overscroll', 'android-jetpack', 'webpack-hmr', 'uicollectionviewlayout', 'mapbox-android', 'deserialization', 'geopandas', 'file-writing', 'swiftui-form', 'json', 'fft', 'karate', 'comments', 'entity-framework', 'mobile', 'object', 'midi', 'oauth-2.0', 'docker-compose', 'androidx', 'jupyter', 'arcore', 'navigation', 'push-notification', 'tree-shaking', 'ngx-quill', 'flutter-appbar', 'tensorflow', 'spp', 'httprequest', 'watchkit', 'botframework', 'confusion-matrix', 'udp', 'python-imaging-library', 'typescript-3.6', 'maven-surefire-plugin', 'automated-tests', 'webp', 'css', 'android-keystore', 'logging', 'java-stream', 'sandbox', 'realitykit', 'eclipse', 'asp.net', 'versioning', 'selenium-chromedriver', 'noise', 'php', 'computer-vision', 'forecasting', 'redux-thunk', 'jsonschema', 'shared-memory', 'django', 'wireshark', 'angular', 'infinite-loop', 'memory-mapped-files', 'django-admin', 'canvas', 'composer-php', 'disaster-recovery', 'pyexcel', 'typescript', 'jupyter-notebook', 'accessibility', 'alamofire', 'java-record', 'while-loop', 'jenkins', 'angularjs', 'fs', 'list', 'go-templates', 'google-bigquery', 'chunks', 'imageview', 'iis-advanced-logging', 'spring-boot', 'typescript-generics', 'command-line-interface', 'memory-leaks', 'dropdown', 'google-compute-engine', 'redis', 'angular-universal', 'plot', 'apache-kafka-streams', 'garbage-collection', 'parquet', 'haskell', 'android-viewpager', 'sql-server', 'google-cloud-platform', 'java-8', 'webassembly', 'ping', 'nullptr', 'huggingface-transformers', 'webpack', 'apple-push-notifications', 'gradle']",29,485,False,9,4.076084178239753,Gen 09,2020-01-09,01
212,418,22366.0,3.9433962264150937,0.018689081641777697,0.8213040553048783,"['xamarin.forms', 'c#-7.0', 'xamarin', 'c#', 'asynchronous', 'console-application']",21,6,False,2,1.5333333333333334,Gen 10,2020-01-10,01
368,780,67528.0,4.239130434782608,0.01155076412747305,0.8301597275004283,"['asp.net-ajax', 'bottom-sheet', 'ios', 'javascript', 'xml', 'promise', 'apache-kafka', 'r', 'deprecated', 'lambda', 'postman', 'woocommerce', 'python-asyncio', 'lets-encrypt', 'blockly', 'android-viewmodel', 'responsive', 'grpc', 'c++11', 'makefile', 'ecmascript-intl', 'flutter-test', 'character', 'ubuntu', 'omnisharp', 'symfony', 'wordpress', 'pointer-arithmetic', 'setjmp', 'netty', 'tdd', 'flutter-plugin', 'clang-format', 'multiprocessing', 'ag-grid', 'flutter-provider', 'android-10.0', 'docker', 'html', 'swiftui', 'optimization', 'scoped-storage', 'bigint', 'ecmascript-6', 'api', 'jsx', 'middleware', 'jss', 'datatable', 'visual-studio', 'android-layout', 'scrapy-splash', 'pandas', 'typeorm', 'marshmallow', 'kubernetes-helm', 'openssl', 'kotlin', 'azure-devops', 'spring-aop', 'express', 'gsl', 'assembly', 'ruby-on-rails-6', 'shiny', 'post', 'arrays', 'as-if', 'import', 'youtube-dl', 'events', 'substring', 'vue.js', 'jestjs', 'subscription', 'google-cloud-ml', 'algorithm', 'jackson', 'android-studio', 'koin', 'react-testing-library', 'web-scraping', 'progressive-web-apps', 'variadic', 'aws-lambda', 'find', 'npm', 'coroutine', 'reactor-netty', 'jsdom', 'terminal', 'pdf', 'sequelize.js', 'nvidia-docker', 'bearer-token', 'c++', 'firebase', 'java', 'react-native-android', 'viewmodel', 'pycharm', 'react-admin', 'for-await', 'codable', 'floating-action-button', 'pyyaml', 'matplotlib', 'kubernetes', 'terminology', 'hook-woocommerce', 'react-native', 'connection-pooling', 'branch-prediction', 'eslintrc', 'spring-webflux', 'android-recyclerview', 'undefined-behavior', 'responsive-design', 'pagespeed', 'npm-publish', 'internationalization', 'rss', 'shadow-dom', 'gcc', 'android-savedstate', 'google-kubernetes-engine', 'dictionary', 'in-app-purchase', 'c#', 'ionic-framework', 'dt', 'feed', 'dart', 'swift', 'postgresql', 'scatter-plot', 'multidimensional-array', 'uiview', 'flutter', 'jquery', 'navigationcontroller', 'css-animations', 'python-requests', 'c', 'android-room', 'mapkitannotation', 'curl', 'istio', 'raku', 'gitlab-ci-runner', 'python', 'cron', 'gitlab-ci', 'vue-cli-4', 'google-cloud-firestore', 'hix-on-rails', 'ellipsis', 'datetime', 'mongodb', 'source-maps', 'gdb', 'handlebars.js', 'frontend', 'asp.net-mvc', 'google-cloud-functions', 'string', 'auth0', 'jwt', 'ajax', 'expo', 'mapkit', 'shared-ptr', 'spring-cloud-gateway', 'webview', 'spring-data-mongodb', 'service-worker', 'google-chrome', 'clipboard', 'react-bootstrap', 'cashapelayer', 'likely-unlikely', 'symfony4', 'metal', 'multithreading', 'scope', 'async-await', 'color-palette', 'reactjs', 'zipfile', 'vertx-httpclient', 'dst', 'python-3.x', 'request-pipeline', 'firebase-cloud-messaging', 'dataframe', 'http', 'spring-data', 'access-token', 'aop', 'angular8', 'android', 'material-ui', 'performance', 'destructor', 'arraylist', 'retrofit2', 'refactoring', 'npm-audit', '.net', 'r-markdown', 'pointers', 'clang', 'file', 'cart', 'type-conversion', 'asp.net-core', 'selenium', 'spring', 'ruby', 'scrapy', 'android-bottomsheetdialog', 'reverse-engineering', 'lua', 'youtube', 'prettier', 'css-position', 'data-structures', 'node.js', 'google-chrome-headless', 'android-livedata', 'laravel', 'phpstorm-2019', 'unique-ptr', 'seaborn', 'xcode', 'rubygems', 'visual-studio-code', 'macos', 'collectors', 'aiohttp', 'stackdriver', 'language-lawyer', 'linked-list', 'android-jetpack', 'pkcs#12', 'caddy', 'react-native-video', 'angular-devkit', 'json', 'gcloud', 'spring-kafka', 'api-platform.com', 'compilation', 'fixed', 'jupyter', 'loops', 'iabhelper', 'printing', 'emacs', 'tensorflow', 'pygame', 'yaml', 'type-hinting', 'rack', 'in-app-billing', 'uinavigationcontroller', 'java.nio.file', 'ruby-on-rails', 'css', 'collections', 'ssl', 'asp.net', 'cmake', 'dataprovider', 'bcrypt', 'php', 'boost', 'recommender-systems', 'combine', 'spring-security', 'iframe', 'django', 'angular', 'elementor', 'debugging', 'websocket', 'angular-directive', 'core-graphics', 'union', 'line-breaks', 'typescript', 'jupyter-notebook', 'nestjs', 'swiftui-navigationlink', 'android-canvas', 'torrent', 'pyenv', 'missing-data', 'iterator', 'riscv', 'knitr', 'list', 'xhtml2pdf', 'spring-boot', 'apache-zookeeper', 'phpstorm', 'memory-leaks', 'operators', 'windows', 'vert.x', 'flutter-web', 'uibezierpath', 'type-punning', 'build.gradle', 'spring-reactive', 'google-cloud-platform', 'java-8', 'webassembly', 'c++20', 'gradle', 'phpunit', 'google-blockly']",14,322,False,9,4.1985642692672345,Gen 11,2020-01-11,01
154,287,11781.0,3.727272727272727,0.0243612596553773,0.8486896471368519,"['materialized-views', 'sql-server', 'postgresql', 'sql', 'oracle']",17,5,False,1,1.0,Gen 12,2020-01-12,01
201,398,20100.0,3.960199004975125,0.019800995024875617,0.8382563880610562,"['huawei-developers', 'crashlytics', 'swift', 'xcode12', 'swift5', 'jsqmessagesviewcontroller', 'appgallery', 'simple-peer', 'ios', 'uikit', 'obfuscation', 'kotlin', 'kotlin-multiplatform', 'angular', 'android-thread', 'android-jetpack', 'sizing', 'firebase', 'cookies', 'swiftui', 'java', 'reflection', 'spring-data-rest', 'uicollectionviewcell', 'core-data', 'ide', 'cordova', 'reflections', 'p2p', 'huawei-mobile-services', 'self', 'gesture', 'uitextfield', 'cordova-plugin-ionic-webview', 'spring', 'development-environment', 'wkwebview', 'java-15', 'ios14', 'android-fragments', 'eclipse', 'objective-c', 'android-activity', 'jwt', 'programming-languages', 'mobile', 'uitableview', 'android-paging', 'android-11', 'xcode', 'react-native', 'security', 'android', 'webrtc', 'anonymous-inner-class']",17,55,False,6,3.0343434343434343,Gen 13,2020-01-13,01
