Id,Count,Named,Original
python,2784,Python & R Developers,Python & R Developers
javascript,2291,Android & Java Developers,Android & Java Developers
java,2036,Android & Java Developers,Android & Java Developers
android,1676,Android & Java Developers,Android & Java Developers
c++,1397,C Developers,C Developers
c#,1389,unamed,c#
reactjs,1142,FrontEnd Developers,FrontEnd Developers
node.js,1015,FrontEnd Developers,FrontEnd Developers
python-3.x,1010,Python & R Developers,Python & R Developers
ios,948,Apple Developers,Apple Developers
r,879,Python & R Developers,Python & R Developers
swift,817,Apple Developers,Apple Developers
flutter,816,unamed,flutter
typescript,788,FrontEnd Developers,FrontEnd Developers
docker,773,unamed,docker
angular,762,FrontEnd Developers,FrontEnd Developers
c,762,C Developers,C Developers
html,745,FrontEnd Developers,FrontEnd Developers
php,693,FrontEnd Developers,FrontEnd Developers
kotlin,633,unamed,kotlin
amazon-web-services,554,unamed,amazon-web-services
linux,536,C Developers,C Developers
macos,531,Apple Developers,Apple Developers
spring-boot,525,Android & Java Developers,Android & Java Developers
css,523,FrontEnd Developers,FrontEnd Developers
react-native,522,unamed,react-native
asp.net-core,471,unamed,asp.net-core
dart,450,unamed,dart
arrays,447,C Developers,C Developers
.net,436,unamed,.net
performance,432,unamed,performance
visual-studio-code,426,unamed,visual-studio-code
django,424,Python & R Developers,Python & R Developers
windows,419,unamed,windows
xcode,413,Apple Developers,Apple Developers
pandas,408,Python & R Developers,Python & R Developers
vue.js,407,FrontEnd Developers,FrontEnd Developers
json,401,FrontEnd Developers,FrontEnd Developers
.net-core,388,unamed,.net-core
swiftui,382,Apple Developers,Apple Developers
android-studio,380,Android & Java Developers,Android & Java Developers
postgresql,380,Database Developers,Database Developers
haskell,378,unamed,haskell
spring,374,Android & Java Developers,Android & Java Developers
firebase,372,unamed,firebase
kubernetes,371,unamed,kubernetes
laravel,367,FrontEnd Developers,FrontEnd Developers
google-chrome,360,unamed,google-chrome
sql,356,Database Developers,Database Developers
azure,350,unamed,azure
git,343,Version Control,Version Control
mysql,336,Database Developers,Database Developers
tensorflow,330,Python & R Developers,Python & R Developers
rust,330,unamed,rust
language-lawyer,308,unamed,language-lawyer
multithreading,306,unamed,multithreading
jquery,301,FrontEnd Developers,FrontEnd Developers
npm,299,unamed,npm
numpy,297,Python & R Developers,Python & R Developers
unit-testing,295,unamed,unit-testing
webpack,292,FrontEnd Developers,FrontEnd Developers
visual-studio,281,unamed,visual-studio
google-cloud-platform,280,unamed,google-cloud-platform
algorithm,280,unamed,algorithm
go,272,unamed,go
string,271,unamed,string
api,262,unamed,api
ubuntu,260,unamed,ubuntu
julia,260,unamed,julia
scala,258,unamed,scala
gradle,255,Android & Java Developers,Android & Java Developers
github,253,Version Control,Version Control
mongodb,252,unamed,mongodb
next.js,251,FrontEnd Developers,FrontEnd Developers
docker-compose,249,unamed,docker-compose
machine-learning,243,Python & R Developers,Python & R Developers
bash,243,Version Control,Version Control
sql-server,242,Database Developers,Database Developers
ruby-on-rails,241,Ruby Developers,Ruby Developers
dataframe,239,Python & R Developers,Python & R Developers
powershell,235,Version Control,Version Control
regex,234,Python & R Developers,Python & R Developers
list,229,Python & R Developers,Python & R Developers
maven,229,Android & Java Developers,Android & Java Developers
pytorch,228,unamed,pytorch
debugging,227,unamed,debugging
function,225,C Developers,C Developers
optimization,225,unamed,optimization
authentication,225,unamed,authentication
c++17,225,C Developers,C Developers
testing,223,unamed,testing
express,218,FrontEnd Developers,FrontEnd Developers
jestjs,217,FrontEnd Developers,FrontEnd Developers
ssl,217,unamed,ssl
gcc,214,C Developers,C Developers
templates,207,unamed,templates
flask,207,unamed,flask
ruby,203,Ruby Developers,Ruby Developers
visual-studio-2019,202,unamed,visual-studio-2019
nginx,198,unamed,nginx
c++20,197,C Developers,C Developers
c++11,197,C Developers,C Developers
image,196,unamed,image
opencv,196,unamed,opencv
raku,196,unamed,raku
aws-lambda,195,unamed,aws-lambda
database,194,Database Developers,Database Developers
security,192,unamed,security
async-await,190,unamed,async-await
assembly,190,C Developers,C Developers
http,189,unamed,http
asp.net,189,unamed,asp.net
keras,189,unamed,keras
azure-devops,181,unamed,azure-devops
types,180,unamed,types
graphql,176,unamed,graphql
asynchronous,174,unamed,asynchronous
amazon-s3,173,unamed,amazon-s3
logging,173,unamed,logging
functional-programming,167,C Developers,C Developers
blazor,167,unamed,blazor
matplotlib,164,Python & R Developers,Python & R Developers
file,164,unamed,file
java-8,164,Android & Java Developers,Android & Java Developers
dictionary,161,Python & R Developers,Python & R Developers
apache-spark,161,unamed,apache-spark
windows-subsystem-for-linux,160,C Developers,C Developers
caching,160,unamed,caching
exception,160,unamed,exception
ggplot2,159,Python & R Developers,Python & R Developers
heroku,158,Database Developers,Database Developers
perl,158,unamed,perl
jupyter-notebook,158,unamed,jupyter-notebook
websocket,156,unamed,websocket
selenium,156,unamed,selenium
xml,155,unamed,xml
pip,154,Python & R Developers,Python & R Developers
x86,154,unamed,x86
react-hooks,151,unamed,react-hooks
intellij-idea,149,Android & Java Developers,Android & Java Developers
rest,149,unamed,rest
memory,149,unamed,memory
lambda,147,unamed,lambda
github-actions,145,Version Control,Version Control
generics,145,unamed,generics
excel,144,unamed,excel
build,142,unamed,build
ios14,142,Apple Developers,Apple Developers
wordpress,141,FrontEnd Developers,FrontEnd Developers
cookies,140,unamed,cookies
error-handling,139,unamed,error-handling
class,139,unamed,class
macos-catalina,137,Apple Developers,Apple Developers
elasticsearch,136,unamed,elasticsearch
environment-variables,134,unamed,environment-variables
nestjs,133,FrontEnd Developers,FrontEnd Developers
apache-kafka,132,unamed,apache-kafka
deep-learning,132,unamed,deep-learning
sorting,131,unamed,sorting
jwt,131,unamed,jwt
material-ui,130,unamed,material-ui
loops,130,unamed,loops
cmake,129,unamed,cmake
windows-10,127,unamed,windows-10
dockerfile,127,unamed,dockerfile
deployment,127,unamed,deployment
datetime,127,unamed,datetime
recursion,127,unamed,recursion
vector,127,unamed,vector
ecmascript-6,126,FrontEnd Developers,FrontEnd Developers
unity3d,126,unamed,unity3d
math,126,unamed,math
qt,126,unamed,qt
networking,126,unamed,networking
svg,125,unamed,svg
oauth-2.0,125,unamed,oauth-2.0
jenkins,124,unamed,jenkins
audio,124,unamed,audio
dplyr,124,Python & R Developers,Python & R Developers
google-cloud-firestore,123,unamed,google-cloud-firestore
amazon-ec2,123,unamed,amazon-ec2
nuxt.js,123,FrontEnd Developers,FrontEnd Developers
clang,123,unamed,clang
firefox,122,unamed,firefox
x86-64,122,unamed,x86-64
module,121,unamed,module
pdf,121,unamed,pdf
enums,121,unamed,enums
redis,120,unamed,redis
safari,120,unamed,safari
terraform,120,unamed,terraform
scikit-learn,120,unamed,scikit-learn
date,119,unamed,date
installation,119,unamed,installation
package,119,unamed,package
web,119,unamed,web
ffmpeg,119,unamed,ffmpeg
pyspark,119,unamed,pyspark
electron,118,unamed,electron
shell,118,Version Control,Version Control
expo,117,unamed,expo
gitlab,116,Version Control,Version Control
asp.net-core-3.1,115,unamed,asp.net-core-3.1
java-11,115,Android & Java Developers,Android & Java Developers
continuous-integration,114,unamed,continuous-integration
ionic-framework,114,FrontEnd Developers,FrontEnd Developers
yaml,114,unamed,yaml
ubuntu-18.04,114,unamed,ubuntu-18.04
parallel-processing,114,unamed,parallel-processing
pointers,113,C Developers,C Developers
redux,112,FrontEnd Developers,FrontEnd Developers
macos-big-sur,111,Apple Developers,Apple Developers
angular9,111,FrontEnd Developers,FrontEnd Developers
entity-framework-core,111,unamed,entity-framework-core
concurrency,111,unamed,concurrency
cors,110,unamed,cors
browser,109,unamed,browser
ubuntu-20.04,109,unamed,ubuntu-20.04
matlab,109,unamed,matlab
oop,108,unamed,oop
dependency-injection,108,unamed,dependency-injection
axios,108,Apple Developers,Apple Developers
devops,108,unamed,devops
containers,108,unamed,containers
progressive-web-apps,107,unamed,progressive-web-apps
for-loop,107,unamed,for-loop
google-apps-script,107,unamed,google-apps-script
image-processing,106,unamed,image-processing
microservices,106,unamed,microservices
swagger,106,unamed,swagger
encryption,105,unamed,encryption
anaconda,105,unamed,anaconda
inheritance,105,unamed,inheritance
server-side-rendering,104,unamed,server-side-rendering
objective-c,104,Apple Developers,Apple Developers
google-colaboratory,104,unamed,google-colaboratory
firebase-authentication,103,unamed,firebase-authentication
sqlite,103,Database Developers,Database Developers
animation,103,unamed,animation
xcode12,103,Apple Developers,Apple Developers
asp.net-mvc,103,unamed,asp.net-mvc
plotly,103,Python & R Developers,Python & R Developers
visual-c++,103,C Developers,C Developers
react-redux,102,FrontEnd Developers,FrontEnd Developers
validation,102,unamed,validation
proxy,102,unamed,proxy
azure-pipelines,102,Python & R Developers,Python & R Developers
oracle,102,Database Developers,Database Developers
data-structures,101,C Developers,C Developers
apache,101,unamed,apache
memory-management,101,unamed,memory-management
memory-leaks,100,unamed,memory-leaks
ssh,100,Version Control,Version Control
floating-point,100,unamed,floating-point
delphi,100,unamed,delphi
sass,99,unamed,sass
create-react-app,99,unamed,create-react-app
mocking,99,unamed,mocking
google-api,99,unamed,google-api
babeljs,98,FrontEnd Developers,FrontEnd Developers
import,98,unamed,import
xamarin,98,unamed,xamarin
architecture,98,unamed,architecture
tensorflow2.0,98,Python & R Developers,Python & R Developers
eslint,97,unamed,eslint
google-cloud-functions,97,C Developers,C Developers
oauth,97,unamed,oauth
struct,96,C Developers,C Developers
stream,96,unamed,stream
grpc,95,unamed,grpc
f#,95,unamed,f#
permissions,95,unamed,permissions
openssl,95,unamed,openssl
google-kubernetes-engine,95,unamed,google-kubernetes-engine
if-statement,95,unamed,if-statement
dependencies,94,unamed,dependencies
xamarin.forms,94,unamed,xamarin.forms
eclipse,94,Android & Java Developers,Android & Java Developers
azure-functions,94,C Developers,C Developers
android-fragments,94,Android & Java Developers,Android & Java Developers
compilation,93,unamed,compilation
symfony,93,unamed,symfony
server,93,unamed,server
time-series,93,unamed,time-series
gatsby,92,unamed,gatsby
file-upload,92,unamed,file-upload
object,92,unamed,object
dns,92,unamed,dns
java-stream,92,Android & Java Developers,Android & Java Developers
entity-framework,92,unamed,entity-framework
https,91,unamed,https
webrtc,91,unamed,webrtc
gpu,91,unamed,gpu
plot,91,Python & R Developers,Python & R Developers
constants,91,unamed,constants
fonts,90,unamed,fonts
iframe,90,unamed,iframe
cypress,90,unamed,cypress
angular-material,90,FrontEnd Developers,FrontEnd Developers
csv,89,unamed,csv
iphone,89,Apple Developers,Apple Developers
amazon-elastic-beanstalk,89,unamed,amazon-elastic-beanstalk
flutter-web,89,unamed,flutter-web
promise,88,unamed,promise
keycloak,88,unamed,keycloak
user-interface,88,unamed,user-interface
androidx,88,Android & Java Developers,Android & Java Developers
pycharm,88,unamed,pycharm
parsing,88,unamed,parsing
random,88,unamed,random
mobile,87,unamed,mobile
forms,87,unamed,forms
conda,87,unamed,conda
matrix,87,unamed,matrix
nlp,87,unamed,nlp
winapi,87,unamed,winapi
webview,86,unamed,webview
vscode-settings,86,unamed,vscode-settings
gitlab-ci,86,Version Control,Version Control
react-router,85,unamed,react-router
ios13,85,Apple Developers,Apple Developers
sockets,85,unamed,sockets
google-sheets,85,unamed,google-sheets
multiprocessing,85,unamed,multiprocessing
time,85,unamed,time
fastapi,84,unamed,fastapi
design-patterns,84,unamed,design-patterns
colors,84,unamed,colors
wpf,84,unamed,wpf
amazon-cognito,83,unamed,amazon-cognito
azure-active-directory,83,unamed,azure-active-directory
web-scraping,83,unamed,web-scraping
variables,83,unamed,variables
flutter-layout,83,unamed,flutter-layout
airflow,83,unamed,airflow
python-requests,83,Python & R Developers,Python & R Developers
serialization,83,unamed,serialization
vim,83,unamed,vim
kotlin-coroutines,83,unamed,kotlin-coroutines
google-chrome-devtools,82,unamed,google-chrome-devtools
.net-core-3.1,82,unamed,.net-core-3.1
raspberry-pi,82,unamed,raspberry-pi
casting,82,unamed,casting
iterator,82,unamed,iterator
email,81,unamed,email
selenium-webdriver,81,unamed,selenium-webdriver
android-recyclerview,81,Android & Java Developers,Android & Java Developers
neural-network,81,unamed,neural-network
hibernate,81,Android & Java Developers,Android & Java Developers
yarnpkg,80,unamed,yarnpkg
compiler-errors,80,unamed,compiler-errors
hash,80,unamed,hash
scipy,80,unamed,scipy
events,79,unamed,events
facebook,79,unamed,facebook
vuejs2,79,FrontEnd Developers,FrontEnd Developers
tomcat,79,unamed,tomcat
jupyter,79,unamed,jupyter
android-layout,79,Android & Java Developers,Android & Java Developers
initialization,79,unamed,initialization
homebrew,78,unamed,homebrew
routes,78,unamed,routes
video,78,unamed,video
protocol-buffers,78,unamed,protocol-buffers
javafx,78,Android & Java Developers,Android & Java Developers
reference,78,unamed,reference
asp.net-core-webapi,78,unamed,asp.net-core-webapi
configuration,77,unamed,configuration
ajax,77,FrontEnd Developers,FrontEnd Developers
unicode,77,unamed,unicode
junit,77,unamed,junit
python-3.8,77,Python & R Developers,Python & R Developers
vba,77,unamed,vba
firebase-cloud-messaging,76,unamed,firebase-cloud-messaging
bootstrap-4,76,FrontEnd Developers,FrontEnd Developers
puppeteer,76,unamed,puppeteer
navigation,76,unamed,navigation
migration,76,unamed,migration
angular8,76,FrontEnd Developers,FrontEnd Developers
compiler-optimization,76,unamed,compiler-optimization
chromium,76,unamed,chromium
openapi,76,unamed,openapi
null,76,unamed,null
linux-kernel,76,C Developers,C Developers
r-markdown,76,unamed,r-markdown
react-native-android,75,Android & Java Developers,Android & Java Developers
plugins,75,unamed,plugins
django-rest-framework,75,Python & R Developers,Python & R Developers
